Rank,Model,Mean scores,ar,de,de-en,de-fr,de-pl,en,es,es-en,es-it,fr,fr-pl,it,pl,pl-en,ru,tr,zh,zh-en
113,ibm-granite/granite-embedding-125m-english,52.14,31.98,40.28,58.28,43.83,43.20,69.36,64.08,76.51,58.82,83.03,28.17,64.96,38.55,73.35,25.14,54.47,43.48,41.10
114,Mihaiii/Ivysaur,52.11,25.22,36.50,49.79,48.86,49.18,67.39,65.20,61.81,59.84,78.33,73.25,66.59,41.63,45.28,25.01,49.58,55.87,38.58
115,deepfile/embedder-100p,52.06,34.31,54.64,59.61,36.12,44.59,68.66,62.16,60.89,44.36,72.92,61.98,62.93,31.97,65.75,26.55,36.37,49.31,63.90
116,intfloat/e5-base-v2,51.85,31.26,29.16,54.17,57.57,26.82,66.51,66.59,67.27,65.80,77.21,50.71,68.28,36.44,64.03,24.53,54.65,53.75,38.57
117,sdadas/mmlw-e5-small,51.83,40.78,29.13,52.34,37.71,29.99,63.91,64.28,64.49,56.71,70.64,84.52,64.71,44.59,76.83,30.39,49.68,33.20,39.07
118,infgrad/stella-base-en-v2,51.69,34.36,32.55,55.25,50.05,37.54,67.00,59.66,63.36,54.20,79.48,73.25,65.21,39.65,47.85,20.72,51.84,51.86,46.67
119,bigscience/sgpt-bloom-7b1-msmarco,51.68,53.55,17.31,55.95,56.37,30.09,66.04,66.53,74.20,62.54,76.51,39.44,55.68,25.57,56.60,28.71,34.17,64.65,66.37
120,avsolatorio/GIST-small-Embedding-v0,51.50,25.21,36.03,51.72,54.33,46.81,68.75,60.15,64.69,53.84,75.38,73.25,65.54,38.95,42.54,24.49,45.27,53.56,46.41
121,thenlper/gte-base,51.45,27.89,31.12,53.71,54.64,43.97,67.66,61.28,64.42,66.64,81.63,28.17,67.61,42.23,58.53,27.27,44.98,59.45,44.82
122,avsolatorio/NoInstruct-small-Embedding-v0,51.42,22.30,37.30,51.10,56.79,40.09,68.54,61.40,62.02,57.71,76.85,73.25,67.16,38.54,43.34,25.08,45.79,53.37,44.94
123,nomic-ai/nomic-embed-text-v1.5,51.15,24.03,29.59,52.22,52.87,24.82,66.73,64.59,63.34,62.52,79.45,61.98,67.82,35.99,58.62,27.83,48.74,52.77,46.78
124,intfloat/e5-base,51.01,33.20,35.13,54.27,55.06,45.33,63.74,63.79,69.77,56.74,77.60,50.71,70.39,35.42,63.00,10.92,53.21,47.44,32.40
125,mixedbread-ai/mxbai-embed-large-v1,50.94,26.23,38.09,57.66,44.51,26.67,69.04,62.82,62.50,62.44,80.15,39.44,66.59,38.99,58.21,31.65,46.25,57.98,47.70
126,intfloat/e5-small,50.87,30.91,41.84,48.46,49.63,32.33,64.77,65.16,68.66,58.50,77.30,84.52,71.46,31.33,52.40,20.86,56.83,40.42,20.26
127,WhereIsAI/UAE-Large-V1,50.82,25.88,37.92,56.74,43.38,26.85,69.25,62.18,63.76,61.42,79.66,39.44,65.28,39.79,64.13,30.32,45.58,56.18,47.04
128,sdadas/mmlw-roberta-large,50.46,25.08,36.24,53.48,40.70,23.22,66.36,63.29,66.17,58.53,76.68,84.52,65.33,43.99,78.97,18.29,51.46,27.61,28.33
129,avsolatorio/GIST-Embedding-v0,50.27,30.26,35.83,54.11,49.35,34.80,68.15,60.75,67.10,57.71,81.03,39.44,65.15,39.82,49.72,24.63,44.41,58.71,43.85
130,sdadas/mmlw-e5-base,49.96,26.35,31.62,51.82,53.48,20.76,64.49,65.82,69.57,58.37,74.81,84.52,67.17,23.78,50.67,26.70,47.56,34.96,46.89
131,Cohere/Cohere-embed-english-light-v3.0,49.83,38.67,38.35,52.01,50.74,14.47,68.13,64.76,71.33,61.53,80.24,5.63,71.64,38.27,61.75,28.05,49.08,52.67,49.55
132,dwzhu/e5-base-4k,49.60,37.33,31.42,52.83,46.20,16.84,61.92,67.02,63.52,56.18,72.39,61.98,70.66,26.50,57.30,28.01,50.43,57.24,34.96
133,jinaai/jina-embedding-b-en-v1,49.55,37.85,47.50,59.82,52.55,32.64,68.15,61.10,68.79,55.81,79.44,50.71,62.37,33.00,57.74,21.05,47.03,31.01,25.30
134,ibm-granite/granite-embedding-30m-english,49.50,22.83,26.31,57.03,52.63,44.13,67.47,66.25,69.33,54.93,81.97,39.44,60.59,33.63,70.43,21.11,46.80,40.65,35.49
135,Snowflake/snowflake-arctic-embed-s,49.06,25.39,40.58,59.54,53.14,34.77,71.34,65.67,75.30,60.03,78.55,84.52,69.69,34.83,18.79,11.71,54.08,31.17,13.99
136,BAAI/bge-large-en-v1.5,48.91,25.07,40.27,55.33,39.67,23.31,67.52,63.05,57.37,59.00,79.87,28.17,64.98,39.06,57.15,28.25,47.01,56.26,48.96
137,sdadas/mmlw-roberta-base,48.13,20.84,26.56,50.06,40.84,35.32,65.00,61.53,64.96,53.55,75.46,73.25,63.23,44.80,74.60,14.69,53.52,26.07,22.01
138,abhinand/MedEmbed-small-v0.1,47.25,16.28,30.83,51.07,52.32,22.82,66.81,60.16,63.77,53.13,73.47,50.71,64.65,36.93,43.95,18.21,43.96,50.56,50.92
139,BAAI/bge-small-en-v1.5,46.93,18.83,32.79,49.15,43.33,18.17,65.79,60.49,60.76,51.05,74.02,61.98,63.83,37.18,39.73,20.63,46.21,51.90,48.84
140,BAAI/bge-base-en-v1.5,46.60,27.55,32.67,51.62,39.66,31.16,66.54,56.36,61.41,51.18,75.91,39.44,61.27,41.44,41.18,18.86,43.37,54.80,44.35
